Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:49,UF,Other,6/17/2022 3:31:10.5,6/17/2022 4:44:35.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:49,UF,Other,6/17/2022 3:33:10.5,6/17/2022 12:24:42.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:49,UF,Other,6/18/2022 3:27:13.5,6/18/2022 4:30:38.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:49,UF,Other,6/18/2022 3:29:13.5,6/18/2022 12:32:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:50,UF,Other,6/19/2022 3:19:20.5,6/19/2022 4:32:40.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:50,UF,Other,6/19/2022 3:15:20.5,6/19/2022 12:22:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:53,UF,Other,6/20/2022 3:21:16.5,6/20/2022 4:34:41.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:54,UF,Other,6/20/2022 3:17:21.5,6/20/2022 3:17:21.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:54,UF,Other,6/21/2022 3:23:13.5,6/21/2022 4:42:33.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:55,UF,Other,6/21/2022 3:17:18.5,6/21/2022 12:18:44.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:55,UF,Other,6/21/2022 10:55:26.5,6/21/2022 12:26:39.5,off effort,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
